english	translation	category	sub_category	source
Study	Tanulmányozás	actions	item	Fire
Remove	Eltávolítás	actions	item	Oak lectern
Lay	Lefektetés	actions	item	Bird snare
Activate	Aktiválás	actions	item	Magic box
Crush	Zúzás	actions	item	Smouldering heart
Eat-from	Evés innen	actions	item	Smouldering pile of flesh
Talk-to	Megszólítás	actions	npc	Tool Leprechaun
Exchange	Csere	actions	npc	Tool Leprechaun
Attack	Támadás	actions	npc	Molanisk
Trade	Kereskedés	actions	npc	Hudo
Travel	Utazás	actions	npc	Rug Merchant
Pet	Simogatás	actions	npc	Dog
Dyes	Festékek	actions	npc	Aggie
Challenge	Kihívás	actions	npc	Yama
Guess-letter	Betű tippelése	actions	npc	Hangman game
Banish	Száműzés	actions	npc	Hangman game
Reset	Visszaállítás	actions	npc	Hangman game
Hit	Ütés	actions	npc	Combat stone
Dismiss	Elküldés	actions	npc	Dr Jekyll
Rewards	Jutalmak	actions	npc	Emblem Trader
Skull	Koponya	actions	npc	Emblem Trader
Pay	Fizetés	actions	npc	Ayesha
Armour	Páncél	actions	npc	Ironman tutor
Setup	Beállítás	actions	npc	Ironman tutor
Check-pets	Állatok ellenőrzése	actions	npc	Leagues Tutor
Collect-items	Tárgyak gyűjtése	actions	npc	Leagues Tutor
Claim-trophies	Trófeák átvétele	actions	npc	Leagues Tutor
Pick-up	Felvétel	actions	npc	Dark core
Metamorphosis	Metamorfózis	actions	npc	Dark core
Pick	Szedés	actions	npc	Strange plant
Grab	Megragadás	actions	npc	Suspect
Pop	Kipukkasztás	actions	npc	Balloon Animal
Kill	Megölés	actions	npc	Pheasant
Disturb	Zavarás	actions	npc	Phosani's Nightmare
Gauntlets	Kesztyűk	actions	npc	Avan
Lure	Csalivetés	actions	npc	Rod Fishing spot
Bait	Csali	actions	npc	Rod Fishing spot
Pickpocket	Zsebelés	actions	npc	Guard
Assignment	Megbízatás	actions	npc	Vannaka
Search	Keresés	actions	npc	Entomologist
Confront	Szembesítés	actions	npc	Mi-Gor
Transport	Szállítás	actions	npc	Brother Tranquility
Intimidate	Megfélemlítés	actions	npc	Zombie swab
Fish	Halászat	actions	npc	Fishing spot
Smash-ice	Jég szétzúzása	actions	npc	Ice block
Shear	Nyírás	actions	npc	Sheep
Knock-Out	Kiütés	actions	npc	Bandit
Bank	Bank	actions	npc	Banker
Collect	Gyűjtés	actions	npc	Banker
Check-Approval	Jóváhagyás ellenőrzése	actions	npc	Arnor
Tuxedo-time	Frakkidő	actions	npc	Larry
Mines	Bányák	actions	npc	Dartog
Cellar	Pince	actions	npc	Dartog
Dream	Álmodozás	actions	npc	Dominic Onion
Take-boat	Csónak felvétele	actions	npc	Monk of Entrana
Inspect	Vizsgálat	actions	npc	Lumbridge Guide
Trade-General-Store	Általános bolt	actions	npc	Razmire Keelgan
