english	translation	category	sub_category	source
Combat Achievements - Overview	Harci teljesítmények – Áttekintő	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	Összes pont: <Num0> – Következő feloldás: <Num1> pont múlva	interface	combAchvmt	
Difficulty Tiers	Nehézségi szintek	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	Harci profil – <!PLAYER_NAME0>	interface	combAchvmt	
Easy	Könnyű	interface	combAchvmt	
Medium	Közepes	interface	combAchvmt	
Hard	Nehéz	interface	combAchvmt	
Elite	Elit	interface	combAchvmt	
Master	Mester	interface	combAchvmt	
Grandmaster	Nagymester	interface	combAchvmt	
Tasks Completed:	Befejezett feladatok:	interface	combAchvmt	
Boss Kill Count:	Főellenség ölések száma:	interface	combAchvmt	
Skilling Boss Kill Count:	Készség főellenség ölések száma:	interface	combAchvmt	
Raid Completions:	Befejezett raidek:	interface	combAchvmt	
Top Boss:	Legtöbb ölés:	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	<!ANY_TRANSLATED0> (<Num0>)	interface	combAchvmt	
Top Skilling Boss:	Legtöbb készség főellenség ölés:	interface	combAchvmt	
Top Raid:	Legtöbb befejezett raid:	interface	combAchvmt	
Nothing!	Semmi!	interface	combAchvmt	
Overview	Áttekintő	interface	combAchvmt	
Tasks	Feladatok	interface	combAchvmt	
Bosses	Főellenségek	interface	combAchvmt	
Rewards	Jutalmak	interface	combAchvmt	
Combat Achievements - Tasks	Harci teljesítmények – Feladatok	interface	combAchvmt	
There are no tasks available to you that match your filters.	Nincs a szűrőidnek megfelelő elérhető feladat.	interface	combAchvmt	
Filters	Szűrők	interface	combAchvmt	
Tier:	Tier:	interface	combAchvmt	
All	Mind	interface	combAchvmt	
Type:	Type:	interface	combAchvmt	
Monster:	Monster:	interface	combAchvmt	
Completed:	Completed:	interface	combAchvmt	
Noxious Foe	Noxious Foe	interface	combAchvmt	
Barrows Novice	Barrows Novice	interface	combAchvmt	
Defence? What Defence?	Defence? What Defence?	interface	combAchvmt	
Big, Black and Fiery	Big, Black and Fiery	interface	combAchvmt	
The Demonic Punching Bag	The Demonic Punching Bag	interface	combAchvmt	
Bryophyta Novice	Bryophyta Novice	interface	combAchvmt	
Protection from Moss	Protection from Moss	interface	combAchvmt	
Preparation Is Key	Preparation Is Key	interface	combAchvmt	
